Incident ID,Incident Date,State,County,Address
377189,19-07-2015,Virginia,Suffolk,100 block of North Capitol Street
912375,13-08-2017,Virginia,Suffolk,8700 block of Quay Rd
1467157,02-08-2019,Virginia,Suffolk,200 block of N Broad St
377047,19-07-2015,Kentucky,Jefferson,2928 W Kentucky St
369410,04-07-2015,Kentucky,Jefferson,2500 block of West Broadway
318221,05-04-2015,Kentucky,Jefferson,40th and Grand Street
709370,24-11-2016,Kentucky,Jefferson,4501 W Broadway
585615,21-06-2016,Kentucky,Jefferson,2802 Rodman Street
1006150,12-12-2017,Kentucky,Jefferson,17th and Gallagher Streets
974051,27-10-2017,Kentucky,Jefferson,1716 Prentice St
925809,02-09-2017,Kentucky,Jefferson,8008 Watterson Trl
855113,29-05-2017,Kentucky,Jefferson,231 Witherspoon St
825111,20-04-2017,Kentucky,Jefferson,700 block of East Jacob Street
797553,19-03-2017,Kentucky,Jefferson,1512 Portland Avenue
1071427,17-03-2018,Kentucky,Jefferson,2928 W Kentucky St
1423330,16-06-2019,Kentucky,Jefferson,Dixie Highway and Ormsby Ave
1375235,18-04-2019,Kentucky,Jefferson,4000 block of Bells Ln
1746282,26-07-2020,Kentucky,Jefferson,I-64
1734064,13-07-2020,Kentucky,Jefferson,1200 block of W Hill St
1704862,14-06-2020,Kentucky,Jefferson,531 Franklin St
1691221,28-05-2020,Kentucky,Jefferson,601 W Jefferson St
1651742,03-04-2020,Kentucky,Jefferson,1000 block of Cecil Ave
2155369,31-10-2021,Kentucky,Jefferson,6210 Shepherdsville Rd
2033605,13-06-2021,Kentucky,Jefferson,5200 block of Robinwood Rd
2431842,06-10-2022,Kentucky,Jefferson,5000 block of East Indian Trail
2327991,11-06-2022,Kentucky,Jefferson,1101 River Rd
2247842,06-03-2022,Kentucky,Jefferson,601 E Jefferson St
2573266,15-04-2023,Kentucky,Jefferson,1200 Southwestern Pkwy
2568184,10-04-2023,Kentucky,Jefferson,333 E Main St
390936,18-07-2015,California,Ventura,Ojai-Santa Paula St
376702,18-07-2015,Oregon,Marion,1550 Weston Ct NE
377423,18-07-2015,Louisiana,East Baton Rouge,300 block of Brice Street
604762,17-07-2016,Louisiana,East Baton Rouge,9611 Airline Hwy
597366,07-07-2016,Louisiana,East Baton Rouge,2136 North Lobdell Avenue
549507,27-04-2016,Louisiana,East Baton Rouge,4300  Block of Kerrit Dr
896889,23-07-2017,Louisiana,East Baton Rouge,10360 Ave H
1256435,14-11-2018,Louisiana,East Baton Rouge,4896 Gus Young Ave
1540280,02-11-2019,Louisiana,East Baton Rouge,137 Taylor St
1435028,29-06-2019,Louisiana,East Baton Rouge,7132 Florida Blvd
1319325,04-02-2019,Louisiana,East Baton Rouge,4000 block of Topeka St
