Incident ID,Incident Date,# Injured
1206828,10-09-2018,5
1192788,21-08-2018,4
1162687,12-07-2018,5
1159528,08-07-2018,4
1109322,06-05-2018,4
1051407,17-02-2018,5
1546038,10-11-2019,4
1468799,04-08-2019,3
1424957,17-06-2019,5
1376873,20-04-2019,6
1865110,29-11-2020,3
1787977,06-09-2020,4
1700250,08-06-2020,4
1690922,28-05-2020,4
1679356,13-05-2020,4
1674299,06-05-2020,2
1665834,25-04-2020,7
1622233,15-02-2020,7
1600221,19-01-2020,4
2181840,03-12-2021,2
2047170,27-06-2021,1
2028745,08-06-2021,4
1974088,10-04-2021,3
1962890,26-03-2021,2
1919399,03-02-2021,3
2491054,30-12-2022,3
2482711,16-12-2022,5
2459156,12-11-2022,4
2448898,30-10-2022,3
2408990,07-09-2022,3
2393758,21-08-2022,3
2388884,16-08-2022,6
2314951,28-05-2022,4
2559838,29-03-2023,5
2541580,07-03-2023,4
2540078,06-03-2023,1
2534810,27-02-2023,3
2534174,26-02-2023,4
2528713,19-02-2023,10
226018,27-11-2014,3
225036,26-11-2014,6
216533,05-11-2014,4
117914,23-03-2014,7
276459,09-01-2015,0
679290,18-10-2016,4
665995,29-09-2016,3
974411,27-10-2017,4
956942,10-10-2017,4
866933,14-06-2017,2
1186061,11-08-2018,4
1096388,20-04-2018,5
1074886,21-03-2018,5
1476271,10-08-2019,4
1353714,23-03-2019,5
1826675,16-10-2020,3
1713075,22-06-2020,5
1928557,13-02-2021,6
2269745,03-04-2022,2
2497164,06-01-2023,3
224362,23-11-2014,4
224131,23-11-2014,4
443652,07-11-2015,3
409601,07-09-2015,4
571859,04-06-2016,1
546818,24-04-2016,4
529488,25-03-2016,4
1258777,19-11-2018,4
1164167,15-07-2018,4
1520499,06-10-2019,4
1343274,10-03-2019,4
1766380,16-08-2020,4
1759873,09-08-2020,9
1751949,01-08-2020,4
1746430,25-07-2020,3
1697541,05-06-2020,4
2198521,27-12-2021,2
2137464,09-10-2021,3
2097494,22-08-2021,5
2450360,01-11-2022,5
2438121,15-10-2022,7
2399670,28-08-2022,3
2349545,04-07-2022,3
2328342,12-06-2022,4
2201677,01-01-2022,2
2498792,09-01-2023,4
223651,22-11-2014,1
375412,15-07-2015,7
370187,07-07-2015,3
350163,31-05-2015,1
337855,10-05-2015,4
604275,16-07-2016,5
596159,04-07-2016,4
995015,24-11-2017,5
916551,19-08-2017,4
803689,26-03-2017,2
802837,25-03-2017,2
780036,21-02-2017,4
778941,20-02-2017,5
769889,08-02-2017,4
1289686,31-12-2018,2
1201135,01-09-2018,7
1192036,20-08-2018,3
1172224,26-07-2018,6
1551162,17-11-2019,4
1512486,21-09-2019,0
1418533,09-06-2019,3
1397521,16-05-2019,4
1768683,17-08-2020,5
1690524,27-05-2020,3
1686015,22-05-2020,3
1635750,07-03-2020,18
1585746,01-01-2020,4
2136132,06-10-2021,4
2135659,06-10-2021,4
2116205,14-09-2021,6
2081480,31-07-2021,5
2054233,04-07-2021,4
2032486,12-06-2021,4
2027736,07-06-2021,6
2027725,06-06-2021,8
1963556,28-03-2021,7
2441540,20-10-2022,5
2406862,05-09-2022,10
2388144,13-08-2022,4
2373607,29-07-2022,3
2311123,23-05-2022,5
2265029,26-03-2022,4
2501869,13-01-2023,1
223799,22-11-2014,1
223729,22-11-2014,3
2058837,10-07-2021,3
2022391,02-06-2021,6
2291578,01-05-2022,4
223582,21-11-2014,6
168307,02-08-2014,5
111095,01-03-2014,4
463734,11-12-2015,4
450505,20-11-2015,3
395837,15-08-2015,3
384662,30-07-2015,4
318125,05-04-2015,3
658226,18-09-2016,4
595048,04-07-2016,4
1001566,04-12-2017,2
1241819,27-10-2018,7
1185622,12-08-2018,4
2196267,24-12-2021,6
2107875,04-09-2021,4
2077587,29-07-2021,2
2447379,28-10-2022,5
2438482,15-10-2022,1
2381371,07-08-2022,3
2280711,17-04-2022,9
2525382,14-02-2023,4
222393,18-11-2014,4
1355275,25-03-2019,5
1840544,31-10-2020,4
2053508,04-07-2021,7
2281244,16-04-2022,4
221554,16-11-2014,4
603738,14-07-2016,3
1526952,13-10-2019,4
1432930,26-06-2019,3
2090971,14-08-2021,5
224746,16-11-2014,6
902187,30-07-2017,3
1530276,19-10-2019,4
1466705,03-08-2019,23
2183120,05-12-2021,3
2438904,16-10-2022,3
2367664,23-07-2022,4
2526362,15-02-2023,4
221347,15-11-2014,0
1283229,23-12-2018,6
1245274,01-11-2018,2
1640317,15-03-2020,2
2231921,11-02-2022,4
217831,08-11-2014,5
201502,04-10-2014,4
217401,07-11-2014,4
307512,15-03-2015,4
517073,06-03-2016,8
834788,29-04-2017,4
1221794,30-09-2018,3
1999307,08-05-2021,2
1946991,05-03-2021,4
211348,26-10-2014,0
210363,24-10-2014,1
209134,18-10-2014,4
193570,19-09-2014,4
175911,17-08-2014,4
92704,03-01-2014,3
207145,18-10-2014,3
205726,14-10-2014,2
204310,12-10-2014,1
106243,12-02-2014,3
373768,13-07-2015,4
308687,17-03-2015,4
285123,26-01-2015,3
577938,11-06-2016,3
563514,22-05-2016,3
1115051,13-05-2018,2
1406070,26-05-2019,3
1387245,04-05-2019,4
1371065,14-04-2019,4
1956001,17-03-2021,5
2280504,15-04-2022,2
2260129,22-03-2022,3
2518292,05-02-2023,3
204236,11-10-2014,5
2125613,25-09-2021,4
2114583,11-09-2021,3
204254,08-10-2014,0
201630,05-10-2014,1
107433,16-02-2014,4
471867,25-12-2015,4
446996,13-11-2015,1
